slug,price
absolut-repair-shampoo-300ml,12.820
apple-pro-gray-coverage-hair-dye-natural-black-hair-color-cream-500ml,13.000
barony-ceramic-hair-straightener-pink,13.022
intensive-moisturising-lotion-for-very-dry-itchy-skin-236ml,13.200
womn-dry-fresh-liquid-powder-50-ml,13.800
